Trimestre,Setor,Estoque,Estoque_Nacional
2021q4,Serviço de Informação,1835026.510280591,95747457.845474854
2021q4,Serviços Imobiliários,592088.86804042011,95747457.845474854
2021q4,Transporte,4859260.3962841,95747457.845474854
2022q1,APU,16355933.636559501,95275255.952781692
2022q1,Comércio,3021523.4356948407,95275255.952781692
2022q1,Intermediação Financeira,1443234.9087126998,95275255.952781692
2022q1,Outros Serviços,10636926.469190162,95275255.952781692
2022q1,Serviço de Informação,1772262.85828157,95275255.952781692
2022q1,Serviços Imobiliários,601087.39017317,95275255.952781692
2022q1,Transporte,4981916.27532805,95275255.952781692
2022q2,APU,17094481.260624174,98268976.771059856
2022q2,Comércio,3092031.0347329592,98268976.771059856
2022q2,Intermediação Financeira,1496592.4612614803,98268976.771059856
2022q2,Outros Serviços,11031079.592066916,98268976.771059856
2022q2,Serviço de Informação,1930443.2042520898,98268976.771059856
2022q2,Serviços Imobiliários,653916.04851540015,98268976.771059856
2022q2,Transporte,5121155.2853642795,98268976.771059856
2022q3,APU,17409210.867741264,99269187.038072392
2022q3,Comércio,3118901.8443639386,99269187.038072392
2022q3,Intermediação Financeira,1536873.6926832106,99269187.038072392
2022q3,Outros Serviços,11411382.469462162,99269187.038072392
2022q3,Serviço de Informação,1797272.5289018797,99269187.038072392
2022q3,Serviços Imobiliários,661994.65659385012,99269187.038072392
2022q3,Transporte,5239550.1431184607,99269187.038072392
2022q4,APU,17586181.72144939,99369771.364139751
2022q4,Comércio,3051849.4927938003,99369771.364139751
2022q4,Intermediação Financeira,1610927.2943736804,99369771.364139751
2022q4,Outros Serviços,11302359.062309047,99369771.364139751
2022q4,Serviço de Informação,1838850.8912576,99369771.364139751
2022q4,Serviços Imobiliários,654588.50021148985,99369771.364139751
2022q4,Transporte,5340383.99667301,99369771.364139751
2023q1,APU,17171074.301055674,97824966.755814284
2023q1,Comércio,3014011.7740525696,97824966.755814284
2023q1,Intermediação Financeira,1593208.265860561,97824966.755814284
2023q1,Outros Serviços,10933541.869874638,97824966.755814284
2023q1,Serviço de Informação,1788869.112015,97824966.755814284
2023q1,Serviços Imobiliários,659665.07541538973,97824966.755814284
2023q1,Transporte,5375334.9183770223,97824966.755814284
2023q2,APU,17887285.50149285,98909564.387581617
2023q2,Comércio,3088293.3875091397,98909564.387581617
2023q2,Intermediação Financeira,1552796.3321587099,98909564.387581617
2023q2,Outros Serviços,11153540.56891764,98909564.387581617
2023q2,Serviço de Informação,1854255.4280941898,98909564.387581617
2023q2,Serviços Imobiliários,668948.16781149991,98909564.387581617
2023q2,Transporte,5339853.5398082621,98909564.387581617
2023q3,APU,18094106.291263193,99838185.978626609
2023q3,Comércio,3109691.9904866708,99838185.978626609
2023q3,Intermediação Financeira,1632221.3691086401,99838185.978626609
2023q3,Outros Serviços,11105995.037553081,99838185.978626609
2023q3,Serviço de Informação,1946838.6418132405,99838185.978626609
2023q3,Serviços Imobiliários,676777.33087347972,99838185.978626609
2023q3,Transporte,5462933.8873367812,99838185.978626609
2023q4,APU,18041110.359475709,100984562.44168948
2023q4,Comércio,3169740.4543293603,100984562.44168948
2023q4,Intermediação Financeira,1592476.2047346402,100984562.44168948
2023q4,Outros Serviços,11618994.710065117,100984562.44168948
2023q4,Serviço de Informação,2027315.0278457697,100984562.44168948
2023q4,Serviços Imobiliários,724110.05209778,100984562.44168948
2023q4,Transporte,5702201.9923646795,100984562.44168948
2024q1,APU,17721068.489548691,100202616.02575122
2024q1,Comércio,3110612.8049073615,100202616.02575122
2024q1,Intermediação Financeira,1591654.6605873497,100202616.02575122
2024q1,Outros Serviços,11373462.998382708,100202616.02575122
2024q1,Serviço de Informação,1944487.42387881,100202616.02575122
2024q1,Serviços Imobiliários,720346.22684548,100202616.02575122
2024q1,Transporte,5697282.6567822993,100202616.02575122
2024q2,APU,18572681.56303893,101830493.32410236
2024q2,Comércio,3224622.6891618706,101830493.32410236
2024q2,Intermediação Financeira,1558044.3590185007,101830493.32410236
2024q2,Outros Serviços,11467948.950152898,101830493.32410236
2024q2,Serviço de Informação,2028557.7302950998,101830493.32410236
2024q2,Serviços Imobiliários,733618.62404092983,101830493.32410236
2024q2,Transporte,5743215.0587017257,101830493.32410236
2024q3,APU,18736474.38563367,103029074.97590664
2024q3,Comércio,3307057.5252438579,103029074.97590664
2024q3,Intermediação Financeira,1610282.7130585297,103029074.97590664
2024q3,Outros Serviços,11616026.335833956,103029074.97590664
2024q3,Serviço de Informação,2017287.3700206697,103029074.97590664
2024q3,Serviços Imobiliários,717924.05755816994,103029074.97590664
2024q3,Transporte,5713801.4104752289,103029074.97590664
2024q4,APU,18730934.024244085,103817686.73100261
2024q4,Comércio,3286738.4897920894,103817686.73100261
2024q4,Intermediação Financeira,1567009.2287459106,103817686.73100261
2024q4,Outros Serviços,11616851.522631992,103817686.73100261
2024q4,Serviço de Informação,2001228.828743021,103817686.73100261
2024q4,Serviços Imobiliários,739881.73431865009,103817686.73100261
2024q4,Transporte,5998665.22636034,103817686.73100261
2025q1,APU,18062871.859376561,100510786.43462136
2025q1,Comércio,3182510.2709566904,100510786.43462136
2025q1,Intermediação Financeira,1603819.2195878495,100510786.43462136
2025q1,Outros Serviços,11138291.049434008,100510786.43462136
2025q1,Serviço de Informação,1936945.4963628897,100510786.43462136
2025q1,Serviços Imobiliários,735927.78166889015,100510786.43462136
2025q1,Transporte,5818716.1862808215,100510786.43462136
2025q2,APU,18870320.587888815,102315738.78008005
2025q2,Comércio,3296531.8865009993,102315738.78008005
2025q2,Intermediação Financeira,1658177.12496187,102315738.78008005
2025q2,Outros Serviços,11302795.06292605,102315738.78008005
2025q2,Serviço de Informação,1926574.36219686,102315738.78008005
2025q2,Serviços Imobiliários,740765.92139093974,102315738.78008005
2025q2,Transporte,5944241.4294756008,102315738.78008005
2025q3,APU,19080432.541169744,102433240.96171661
2025q3,Comércio,3345875.36652778,102433240.96171661
2025q3,Intermediação Financeira,1609736.8034627303,102433240.96171661
2025q3,Outros Serviços,11004445.205876742,102433240.96171661
2025q3,Serviço de Informação,1910837.5242408898,102433240.96171661
2025q3,Serviços Imobiliários,783104.55064458,102433240.96171661
2025q3,Transporte,5955361.1106667416,102433240.96171661
